clients,batch,elapsed_s,pgbench_tps,jobs_claimed,jobs_per_s,commits_delta,commits_per_s
4,1,8.093700000,9464.414260,75691,9351.8,75704,9353.4
4,10,8.073275000,6533.528985,522590,64730.8,52272,6474.6
4,100,8.086429000,1650.503095,1320400,163285.9,13217,1634.4
